Participant Information
Name,
Age,
Sex,
Dominant Hand,
Date,2025-02-12_14h11.24.527

Force,Timestamp
0.202545166015625,2025-02-12 14:11:24.689906
0.40901947021484375,2025-02-12 14:11:24.789542
0.79248046875,2025-02-12 14:11:24.889321
0.9104690551757812,2025-02-12 14:11:24.992113
0.8662261962890625,2025-02-12 14:11:25.089500
0.83673095703125,2025-02-12 14:11:25.189597
0.8072357177734375,2025-02-12 14:11:25.289107
0.83673095703125,2025-02-12 14:11:25.388918
0.6007537841796875,2025-02-12 14:11:25.489030
0.6892471313476562,2025-02-12 14:11:25.588855
0.83673095703125,2025-02-12 14:11:25.688988
