Participant Information
Name,Hao 
Age,20
Sex,M
Dominant Hand,R
Date,2025-01-27_15h02.35.883

Force,Timestamp
-0.22516632080078125,2025-01-27 15:02:36.620432
-0.28415679931640625,2025-01-27 15:02:36.636253
0.14354705810546875,2025-01-27 15:02:36.643099
0.11405181884765625,2025-01-27 15:02:36.650616
0.08455657958984375,2025-01-27 15:02:36.657636
0.08455657958984375,2025-01-27 15:02:36.664661
0.09930419921875,2025-01-27 15:02:36.671091
0.158294677734375,2025-01-27 15:02:36.752837
0.08455657958984375,2025-01-27 15:02:36.852264
0.158294677734375,2025-01-27 15:02:36.952063
0.08455657958984375,2025-01-27 15:02:37.052242
0.11405181884765625,2025-01-27 15:02:37.152230
0.11405181884765625,2025-01-27 15:02:37.252309
0.1730499267578125,2025-01-27 15:02:37.352917
0.21729278564453125,2025-01-27 15:02:37.452315
1.633148193359375,2025-01-27 15:02:37.552964
2.5918045043945312,2025-01-27 15:02:37.652738
3.0490036010742188,2025-01-27 15:02:37.752196
2.0313568115234375,2025-01-27 15:02:37.852607
1.5151596069335938,2025-01-27 15:02:37.952720
1.3381805419921875,2025-01-27 15:02:38.052825
1.2054443359375,2025-01-27 15:02:38.152556
0.9252166748046875,2025-01-27 15:02:38.252669
0.6449966430664062,2025-01-27 15:02:38.353293
0.37952423095703125,2025-01-27 15:02:38.452852
0.40901947021484375,2025-01-27 15:02:38.552693
1.8691253662109375,2025-01-27 15:02:38.653012
3.2407379150390625,2025-01-27 15:02:38.752429
4.4058685302734375,2025-01-27 15:02:38.852592
6.559150695800781,2025-01-27 15:02:38.952258
10.585494995117188,2025-01-27 15:02:39.052757
19.00688934326172,2025-01-27 15:02:39.152840
20.64397430419922,2025-01-27 15:02:39.252640
7.060600280761719,2025-01-27 15:02:39.352384
3.2849807739257812,2025-01-27 15:02:39.452737
2.8720245361328125,2025-01-27 15:02:39.552943
5.9397125244140625,2025-01-27 15:02:39.652862
21.602630615234375,2025-01-27 15:02:39.753129
16.322662353515625,2025-01-27 15:02:39.852283
3.8749237060546875,2025-01-27 15:02:39.952646
2.3263320922851562,2025-01-27 15:02:40.052752
4.7745819091796875,2025-01-27 15:02:40.152932
